fullVisitorId,browser,operatingSystem,operatingSystemVersion,isMobile,mobileDeviceBranding,mobileDeviceModel,mobileInputSelector,mobileDeviceInfo,mobileDeviceMarketingName,screenResolution,language,continent,subContinent,country,region,city,sec,sub_sec,pageTitle,url,onPageTime,nextTime,user_active_days,total_visit_counts,total_unique_session,total_time_spent,time_spent_per_session,timeOnPage,GAClientId,LotamePId,cookie_id
7.210614193063942e+17,Chrome,Android,8.1.0,True,OPPO,CPH1803,touchscreen,OPPO CPH1803 A3s,A3s,360x760,ms,Asia,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,/berita/,/kes/,"Gurauan ""tak sempat puasa"" jadi kenyataan",https://www.bharian.com.my/berita/kes/2022/03/939190/gurauan-tak-sempat-puasa-jadi-kenyataan,23,126071,29,996,74,138365.0,182.0,126048,167885194.1593778878,a0be7ee4c7333cdf63a08dc3adbb3d12,URc+k1EjMvBPkCzO
7.210614193063942e+17,Chrome,Android,8.1.0,True,OPPO,CPH1803,touchscreen,OPPO CPH1803 A3s,A3s,360x760,ms,Asia,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,/sukan/,/bola/,Keputusan Liga Perdana Inggeris,https://www.bharian.com.my/sukan/bola/2022/03/934997/keputusan-liga-perdana-inggeris,1198865,1665647,29,996,74,138365.0,1722.0,466782,167885194.1593778878,a0be7ee4c7333cdf63a08dc3adbb3d12,URc+k1EjMvBPkCzO
7.210614193063942e+17,Chrome,Android,8.1.0,True,OPPO,CPH1803,touchscreen,OPPO CPH1803 A3s,A3s,360x760,ms-my,Asia,Southeast Asia,Malaysia,Selangor,Shah Alam,/sukan/,/bola/,Zaquan kecewa Aidil dipersendakan,https://www.bharian.com.my/sukan/bola/2022/03/939893/zaquan-kecewa-aidil-dipersendakan,0,1050212,29,996,74,138365.0,1107.0,1050212,167885194.1593778878,a0be7ee4c7333cdf63a08dc3adbb3d12,URc+k1EjMvBPkCzO
7.210614193063942e+17,Chrome,Android,8.1.0,True,OPPO,CPH1803,touchscreen,OPPO CPH1803 A3s,A3s,360x760,ms,Asia,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,/berita/,/nasional/,"Gobind raih undi tertinggi, Young Syefura wakil tunggal Melayu",https://www.bharian.com.my/berita/nasional/2022/03/936441/gobind-raih-undi-tertinggi-young-syefura-wakil-tunggal-melayu,0,1329527,29,996,74,138365.0,1406.0,1329527,167885194.1593778878,a0be7ee4c7333cdf63a08dc3adbb3d12,URc+k1EjMvBPkCzO
7.210614193063942e+17,Chrome,Android,8.1.0,True,OPPO,CPH1803,touchscreen,OPPO CPH1803 A3s,A3s,360x760,ms,Asia,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,/hujung-minggu/,/santai/,Tidur berlapik kanvas di kebun kelapa sawit,https://www.bharian.com.my/hujung-minggu/santai/2022/03/940332/tidur-berlapik-kanvas-di-kebun-kelapa-sawit,6,559835,29,996,74,138365.0,616.0,559829,167885194.1593778878,a0be7ee4c7333cdf63a08dc3adbb3d12,URc+k1EjMvBPkCzO
7.210614193063942e+17,Chrome,Android,8.1.0,True,OPPO,CPH1803,touchscreen,OPPO CPH1803 A3s,A3s,360x760,ms,Asia,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,/berita/,/nasional/,"'Keluar 10 minit, pergi makan angin!'",https://www.bharian.com.my/berita/nasional/2022/03/934773/keluar-10-minit-pergi-makan-angin,16,459173,29,996,74,138365.0,2063.0,459157,167885194.1593778878,a0be7ee4c7333cdf63a08dc3adbb3d12,URc+k1EjMvBPkCzO
7.210614193063942e+17,Chrome,Android,8.1.0,True,OPPO,CPH1803,touchscreen,OPPO CPH1803 A3s,A3s,360x760,ms,Asia,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,/sukan/,/bola/,Keputusan Liga Juara-Juara UEFA,https://www.bharian.com.my/sukan/bola/2022/04/943168/keputusan-liga-juara-juara-uefa,1,103186,29,996,74,138365.0,103.0,103185,167885194.1593778878,a0be7ee4c7333cdf63a08dc3adbb3d12,URc+k1EjMvBPkCzO
7.210614193063942e+17,Chrome,Android,8.1.0,True,OPPO,CPH1803,touchscreen,OPPO CPH1803 A3s,A3s,360x760,ms-my,Asia,Southeast Asia,Malaysia,Selangor,Shah Alam,/sukan/,/bola/,Liverpool jumpa City di separuh akhir Piala FA,https://www.bharian.com.my/sukan/bola/2022/03/936510/liverpool-jumpa-city-di-separuh-akhir-piala-fa,877801,1482622,29,996,74,138365.0,1827.0,604821,167885194.1593778878,a0be7ee4c7333cdf63a08dc3adbb3d12,URc+k1EjMvBPkCzO
7.210614193063942e+17,Chrome,Android,8.1.0,True,OPPO,CPH1803,touchscreen,OPPO CPH1803 A3s,A3s,360x760,ms-my,Asia,Southeast Asia,Malaysia,Selangor,Kajang,/sukan/,/bola/,Datuk Bandar minta ubah lokasi aksi City-Liverpool,https://www.bharian.com.my/sukan/bola/2022/03/937428/datuk-bandar-minta-ubah-lokasi-aksi-city-liverpool,392930,843129,29,996,74,138365.0,934.0,450199,167885194.1593778878,a0be7ee4c7333cdf63a08dc3adbb3d12,URc+k1EjMvBPkCzO
7.210614193063942e+17,Chrome,Android,8.1.0,True,OPPO,CPH1803,touchscreen,OPPO CPH1803 A3s,A3s,360x760,ms,Asia,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,/sukan/,/bola/,Ejen Salah sindir Klopp,https://www.bharian.com.my/sukan/bola/2022/03/932979/ejen-salah-sindir-klopp,410,278962,29,996,74,138365.0,335.0,278552,167885194.1593778878,a0be7ee4c7333cdf63a08dc3adbb3d12,URc+k1EjMvBPkCzO
